2024/06/09 00:52:25 [Temperature Controller]  The temperature is quite suitable for plants' growth.
2024/06/09 00:52:26 [Event]                   ========== Day 1 starts. ==========
2024/06/09 00:52:26 [Event]                   Daily water level decrease applied. 
2024/06/09 00:52:26 [Event]                   Weather is Rainy, the amount of rain is 20
2024/06/09 00:52:26 [Event]                   Planting 10 Rose seeds in plot 1. Current number of plants is 10
2024/06/09 00:52:26 [Event]                   Planting 10 Peach seeds in plot 2. Current number of plants is 20
2024/06/09 00:52:26 [Event]                   Planting 10 Cherry seeds in plot 3. Current number of plants is 30
2024/06/09 00:52:26 [Water Controller]        Rose water level is 35, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:52:26 [Event]                   Planting 10 CherryTomato seeds in plot 4. Current number of plants is 40
2024/06/09 00:52:26 [Water Sensor]            Peach's water level has been updated, it's current water level is 100
2024/06/09 00:52:26 [Event]                   Planting 10 ChiliPepper seeds in plot 5. Current number of plants is 50
2024/06/09 00:52:26 [Water Sensor]            Cherry's water level has been updated, it's current water level is 100
2024/06/09 00:52:26 [Water Sensor]            CherryTomato's water level has been updated, it's current water level is 80
2024/06/09 00:52:26 [Water Sensor]            ChiliPepper's water level has been updated, it's current water level is 80
2024/06/09 00:52:26 [Event]                   Planting 10 Hydrangea seeds in plot 6. Current number of plants is 60
2024/06/09 00:52:26 [Water Controller]        Hydrangea water level is 40, this value plus rain amount should below 50. Overwatering warning！Watering protection activated.
2024/06/09 00:52:26 [API]                     Rainy Event: Rain amount is 10
2024/06/09 00:52:26 [Water Sensor]            Rose's water level has been updated, it's current water level is 45
2024/06/09 00:52:26 [Water Controller]        Peach water level is 100, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:52:26 [Water Controller]        Cherry water level is 100, this value plus rain amount should below 100. Overwatering warning！Watering protection activated.
2024/06/09 00:52:26 [Water Controller]        CherryTomato water level is 80, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
2024/06/09 00:52:26 [Water Controller]        ChiliPepper water level is 80, this value plus rain amount should below 80. Overwatering warning！Watering protection activated.
